date,size_db,cpu,mem,clientes_ativos,clientes_novos,clientes_excluidos,media_reports_clientes,media_reports_apps,frequencia de calculo
22/08/2023,16.358,24.59,20.5,1557,3,2,1.79,4.11,30
23/08/2023,16.469,23.64,21.16,1560,5,2,1.98,3.69,15
24/08/2023,16.443,26.37,21.55,1569,0,2,2.24,6.35,30
25/08/2023,16.871,25.1,24.46,1576,3,1,3.38,5.71,1
26/08/2023,16.405,25.81,21.63,1585,3,0,2.13,5.19,1
27/08/2023,16.331,23.88,21.28,1585,1,1,1.88,3.55,1
28/08/2023,16.53,26.77,20.63,1594,2,1,1.38,5.74,30
29/08/2023,16.533,26.52,22.71,1597,0,2,2.73,6.39,30
30/08/2023,16.606,26.4,20.51,1604,2,1,1.91,5.57,1
31/08/2023,16.493,24.74,23.54,1603,0,0,2.83,4.96,1
01/09/2023,16.624,24.67,21.74,1605,3,1,2.55,5.63,30
02/09/2023,16.646,25.63,20.99,1613,5,1,1.77,5.27,30
03/09/2023,16.819,26.15,21.18,1611,3,4,1.3,5.93,15
04/09/2023,16.675,25.8,22.55,1617,3,1,2.14,5.9,90
05/09/2023,16.695,25.66,21.33,1626,4,1,1.69,4.78,30
06/09/2023,16.796,25.43,21.22,1631,4,0,02.02,4.34,30
07/09/2023,16.885,25.2,22.34,1632,3,0,2.52,4.6,1
08/09/2023,16.533,25.78,20.14,1634,6,3,1.17,5.54,90
09/09/2023,16.498,25.0,21.58,1642,3,1,2.13,4.66,1
10/09/2023,17.106,24.6,21.57,1650,7,0,2.38,4.25,30
11/09/2023,16.927,25.85,22.75,1658,5,1,2.4,5.0,30
12/09/2023,16.761,25.81,20.47,1666,2,0,1.32,6.11,15
13/09/2023,16.828,25.11,21.41,1666,1,1,2.21,5.14,30
14/09/2023,16.765,24.8,22.08,1673,2,0,2.6,4.72,90
15/09/2023,16.905,26.15,21.89,1679,0,0,2.17,5.32,90
16/09/2023,16.687,25.36,20.59,1682,4,0,1.94,05.08,90
17/09/2023,17.069,24.4,22.89,1690,1,0,2.57,03.07,15
18/09/2023,16.956,26.69,21.13,1695,4,1,1.65,5.7,1
19/09/2023,16.983,25.61,21.18,1698,2,1,1.24,5.41,30
20/09/2023,16.781,25.82,21.32,1695,3,4,1.9,05.02,15
21/09/2023,17.085,26.53,21.46,1692,6,2,2.27,06.06,30
22/09/2023,16.826,26.96,21.64,1697,5,0,2.52,6.21,15
23/09/2023,16.882,26.77,21.69,1704,1,2,2.27,5.8,30
24/09/2023,17.058,25.36,22.07,1709,2,2,2.42,4.15,1
25/09/2023,17.562,25.24,22.36,1709,3,0,2.52,4.18,30
26/09/2023,17.115,27.6,21.43,1718,3,0,1.83,6.12,90
27/09/2023,16.587,23.71,20.92,1723,3,2,1.93,3.12,30
28/09/2023,16.993,25.53,22.64,1722,1,1,2.64,4.85,1
29/09/2023,17.279,26.07,20.54,1725,4,2,1.39,5.44,15
30/09/2023,16.938,23.51,22.16,1727,6,1,2.21,3.25,1
01/10/2023,17.35,26.27,21.05,1731,6,0,1.64,5.23,90
02/10/2023,17.237,26.76,23.13,1738,0,3,2.55,5.95,90
03/10/2023,17.424,24.52,22.1,1743,3,1,1.99,3.51,1
04/10/2023,17.135,27.6,21.73,1744,4,0,2.0,6.66,1
05/10/2023,17.141,24.82,22.82,1741,3,2,2.86,3.99,15
06/10/2023,17.403,27.44,20.21,1740,1,0,1.46,5.57,1
07/10/2023,17.31,25.45,22.59,1746,4,1,2.11,4.92,30
08/10/2023,17.319,26.09,21.25,1754,2,2,1.91,05.07,15
09/10/2023,17.668,24.62,22.36,1758,2,0,2.27,3.72,15
10/10/2023,17.497,25.94,23.44,1765,7,2,2.96,6.26,1
11/10/2023,17.0,25.84,21.01,1767,2,3,1.7,5.33,1
12/10/2023,17.58,27.12,21.65,1771,6,2,1.4,6.62,30
13/10/2023,17.582,24.67,20.65,1776,4,2,1.6,3.74,30
14/10/2023,17.701,25.84,22.63,1776,4,1,1.88,4.82,90
15/10/2023,17.299,26.2,22.1,1773,2,0,02.03,5.21,90
16/10/2023,17.574,25.76,21.83,1770,1,0,02.06,05.06,15
17/10/2023,17.554,26.41,23.09,1776,4,2,2.9,5.67,30
18/10/2023,17.362,25.99,21.86,1776,4,2,2.81,4.81,15
19/10/2023,17.766,27.79,22.52,1784,3,4,2.65,7.12,1
20/10/2023,17.551,25.07,23.56,1787,3,0,3.26,05.04,15
21/10/2023,17.853,23.32,22.72,1785,2,1,2.41,2.12,90
22/10/2023,17.496,26.53,23.28,1784,4,1,2.55,05.08,30
23/10/2023,17.376,27.45,23.38,1781,3,0,2.4,6.26,15
24/10/2023,17.643,25.17,22.52,1782,6,3,2.32,04.08,90
25/10/2023,17.761,25.71,22.36,1779,2,0,2.2,04.01,15
26/10/2023,17.631,25.7,21.35,1783,1,1,1.8,4.16,15
27/10/2023,17.148,24.46,19.84,1780,1,0,1.38,3.92,15
28/10/2023,17.862,25.78,21.62,1787,1,2,1.93,4.52,1
29/10/2023,17.884,27.2,22.35,1784,5,2,2.28,5.91,1
30/10/2023,17.97,27.68,22.62,1782,3,1,02.04,6.53,90
31/10/2023,17.78,24.23,21.44,1780,3,0,1.47,2.58,30
01/11/2023,17.793,25.64,21.97,1788,1,1,1.92,4.62,15
02/11/2023,18.192,26.38,21.74,1790,3,1,1.89,5.3,15
03/11/2023,17.613,24.89,20.85,1793,2,2,1.97,5.2,30
04/11/2023,17.903,27.66,21.45,1794,5,0,2.25,6.9,90
05/11/2023,18.005,23.55,21.79,1791,4,3,2.35,2.99,30
06/11/2023,18.122,23.68,21.64,1788,7,3,1.75,2.41,1
07/11/2023,18.06,27.68,23.36,1787,2,2,2.49,07.06,90
08/11/2023,17.866,27.19,23.35,1785,4,2,2.57,5.75,15
09/11/2023,18.309,26.38,22.89,1786,4,0,2.16,4.43,15
10/11/2023,18.1,26.43,22.39,1794,5,1,2.33,5.17,30
11/11/2023,17.791,25.84,23.29,1800,4,1,2.49,5.24,30
12/11/2023,18.192,25.87,20.9,1802,4,2,1.45,4.4,30
13/11/2023,18.27,27.46,23.45,1805,0,6,2.53,5.14,90
14/11/2023,18.593,27.71,20.97,1805,3,3,1.6,5.35,1
15/11/2023,18.308,27.71,21.15,1808,6,1,1.65,07.02,15
16/11/2023,17.955,26.43,23.04,1815,2,2,2.1,5.96,30
17/11/2023,17.987,27.1,20.38,1819,5,1,0.93,6.74,15
18/11/2023,18.554,24.63,22.17,1826,3,3,02.09,3.66,1
19/11/2023,18.168,26.09,23.47,1823,3,0,2.49,4.65,90
20/11/2023,18.044,26.2,21.49,1825,2,3,1.18,5.24,1
21/11/2023,18.58,24.21,23.0,1829,6,2,2.54,03.08,15
22/11/2023,18.311,28.1,21.87,1830,5,1,1.65,6.18,1
23/11/2023,18.622,27.48,22.64,1830,3,1,2.1,5.64,15
24/11/2023,18.276,25.16,20.41,1828,4,1,1.72,4.63,15
25/11/2023,18.78,26.98,22.23,1830,3,0,2.29,4.82,30
26/11/2023,18.686,28.12,23.69,1832,0,0,2.51,6.25,15
27/11/2023,18.393,25.91,22.37,1839,5,6,2.32,4.2,90
28/11/2023,18.232,27.36,22.48,1836,4,2,2.0,6.29,1
29/11/2023,19.052,26.48,22.42,1841,6,1,1.76,4.75,90
30/11/2023,18.576,26.32,22.95,1849,2,0,1.97,5.76,15
01/12/2023,18.492,27.02,22.16,1856,3,0,2.33,05.09,30
02/12/2023,18.949,28.5,23.3,1858,2,3,2.35,7.23,90
03/12/2023,18.888,25.41,22.94,1867,3,0,2.28,4.11,90
04/12/2023,18.963,25.76,21.24,1866,1,2,1.36,4.43,15
05/12/2023,18.734,26.04,22.06,1866,5,1,1.99,3.49,15
06/12/2023,19.157,25.45,22.33,1874,5,3,1.68,3.9,15
07/12/2023,18.547,27.72,23.19,1881,3,2,2.33,5.71,90
08/12/2023,18.726,28.22,21.93,1881,3,0,1.62,6.6,30
09/12/2023,18.942,27.17,22.97,1880,2,1,2.23,5.83,90
10/12/2023,19.126,26.36,22.22,1886,4,3,1.86,4.99,1
11/12/2023,19.052,25.62,21.02,1885,2,3,01.06,4.11,1
12/12/2023,18.931,27.62,22.88,1884,4,2,2.47,5.9,30
13/12/2023,18.881,26.08,22.28,1884,2,1,1.99,04.05,1
14/12/2023,19.239,25.35,23.99,1887,3,1,2.64,3.65,15
15/12/2023,19.186,26.34,21.81,1887,2,1,1.17,4.69,90
16/12/2023,18.886,24.25,21.7,1892,4,4,1.85,2.97,15
17/12/2023,18.909,24.76,21.96,1889,1,0,1.89,3.62,90
18/12/2023,19.009,28.05,22.47,1893,4,0,2.14,6.89,30
19/12/2023,19.012,25.73,21.6,1896,5,2,1.34,3.43,90
20/12/2023,19.382,25.56,22.38,1894,1,1,2.27,3.81,30
21/12/2023,19.292,26.81,23.76,1898,2,2,2.96,05.07,1
22/12/2023,19.346,26.78,22.46,1895,2,2,2.24,5.12,30
23/12/2023,19.302,26.57,23.04,1902,4,1,02.05,4.77,30
24/12/2023,19.34,25.17,21.74,1910,5,4,1.31,3.0,1
25/12/2023,19.005,27.4,21.81,1915,5,6,1.61,5.85,30
26/12/2023,19.51,26.73,22.3,1920,3,4,1.97,4.56,15
27/12/2023,19.268,28.88,22.13,1918,1,1,1.74,6.22,90
28/12/2023,19.404,25.97,23.31,1921,5,2,2.51,4.36,90
29/12/2023,19.346,27.75,24.01,1927,4,2,2.27,5.98,15
30/12/2023,19.499,28.7,25.39,1926,4,0,3.35,6.3,30
31/12/2023,19.615,27.43,21.85,1929,2,0,1.51,4.53,30
01/01/2024,19.328,27.24,22.89,1937,4,0,02.02,5.88,1
02/01/2024,19.611,24.96,22.36,1943,2,1,1.31,3.67,90
03/01/2024,19.501,27.34,20.86,1948,0,0,0.89,5.26,15
04/01/2024,19.885,28.47,22.9,1948,3,4,2.36,6.22,90
05/01/2024,19.428,27.91,22.31,1956,1,2,2.25,5.52,30
06/01/2024,19.481,29.75,22.86,1953,4,1,1.57,7.41,1
07/01/2024,19.641,27.72,22.92,1951,1,2,02.05,5.57,90
08/01/2024,19.558,27.27,22.57,1948,2,0,1.69,4.63,1
09/01/2024,19.729,29.71,22.33,1956,4,0,1.75,7.84,1
10/01/2024,19.699,28.93,22.1,1957,1,1,1.84,6.63,15
11/01/2024,19.854,25.07,21.84,1958,6,0,1.55,3.4,30
12/01/2024,20.069,26.59,21.95,1965,2,2,1.64,4.22,90
13/01/2024,19.913,25.54,22.99,1968,3,1,1.66,3.96,30
14/01/2024,19.962,27.43,24.17,1973,4,2,2.21,5.65,1
15/01/2024,19.75,28.65,20.94,1978,4,0,0.61,5.57,30
16/01/2024,19.966,26.99,22.18,1977,1,1,1.89,5.56,15
17/01/2024,19.94,25.59,22.53,1976,3,0,1.46,3.37,90
18/01/2024,20.193,27.24,23.07,1975,1,1,1.47,4.36,1
19/01/2024,19.935,28.29,23.18,1975,2,2,1.74,4.85,15
20/01/2024,19.948,25.6,23.07,1979,6,0,1.99,3.18,90
21/01/2024,20.216,26.73,22.95,1981,4,0,1.89,4.13,90
22/01/2024,20.58,29.06,22.6,1985,4,3,1.47,6.36,15
23/01/2024,20.181,26.44,24.37,1982,3,2,2.36,3.45,90
24/01/2024,20.282,29.19,22.97,1986,3,2,1.55,6.46,30
25/01/2024,20.471,28.43,22.62,1986,2,3,1.63,06.09,30
26/01/2024,20.416,27.86,23.34,1993,0,1,2.14,4.71,1
27/01/2024,20.45,26.73,23.35,1990,3,1,2.16,4.35,90
28/01/2024,20.36,27.59,22.31,1994,0,2,1.69,5.83,15
29/01/2024,20.397,26.0,21.8,1994,7,3,0.53,4.21,90
30/01/2024,20.294,26.69,22.21,1996,3,1,1.56,4.26,30
31/01/2024,20.575,27.71,23.78,2000,1,1,02.08,4.98,1
01/02/2024,20.604,26.04,23.61,2000,6,2,2.34,2.87,15
02/02/2024,20.688,26.61,23.17,1999,2,1,1.96,3.55,1
03/02/2024,20.48,27.35,22.95,2004,4,1,1.76,4.68,15
04/02/2024,20.777,28.77,25.5,2003,2,1,3.15,5.48,1
05/02/2024,20.871,27.05,23.15,2008,3,0,1.81,4.2,90
06/02/2024,20.436,26.76,23.23,2017,0,0,2.31,4.8,1
07/02/2024,20.653,25.36,22.46,2015,2,0,1.33,3.39,1
08/02/2024,20.981,29.47,22.41,2013,3,0,1.45,5.93,1
09/02/2024,20.65,26.82,24.71,2011,4,4,2.32,5.22,90
10/02/2024,20.92,28.08,24.24,2013,4,1,2.52,5.31,15
11/02/2024,20.85,29.81,22.92,2012,5,1,1.81,5.49,1
12/02/2024,20.949,28.19,23.2,2021,1,0,01.08,05.08,15
13/02/2024,20.925,27.28,23.83,2026,3,0,1.92,4.52,90
14/02/2024,21.1,28.26,23.36,2026,3,2,02.09,6.13,90
15/02/2024,20.781,28.76,23.19,2023,3,0,02.05,5.16,15
16/02/2024,20.838,28.27,23.36,2023,4,1,1.72,4.83,30
17/02/2024,21.348,28.44,23.7,2020,1,0,1.92,4.99,30
18/02/2024,21.51,28.16,23.75,2021,3,1,1.63,4.97,90
19/02/2024,21.124,28.09,22.52,2021,5,1,1.44,4.82,90
20/02/2024,21.503,28.56,24.78,2025,6,3,2.38,5.45,1
21/02/2024,21.041,26.51,22.6,2029,6,2,02.05,04.06,15
22/02/2024,21.124,27.6,23.49,2032,7,1,1.92,4.14,90
23/02/2024,21.557,28.75,23.2,2031,3,0,1.75,5.56,1
24/02/2024,21.462,28.28,23.48,2028,2,1,1.91,4.85,15
25/02/2024,21.658,29.18,24.01,2025,1,2,02.08,5.97,90
26/02/2024,21.466,28.81,25.71,2033,1,3,2.86,5.41,15
27/02/2024,21.206,27.46,23.64,2040,5,1,2.33,4.45,1
28/02/2024,21.489,28.71,22.27,2039,2,0,1.67,5.58,1
29/02/2024,21.72,29.51,22.96,2041,3,3,1.67,6.2,1
01/03/2024,21.49,30.11,23.76,2044,2,1,1.59,5.45,1
02/03/2024,21.495,29.25,22.89,2046,5,5,1.9,5.67,15
03/03/2024,21.685,29.4,23.06,2048,1,1,1.59,4.83,30
04/03/2024,21.513,29.18,24.65,2050,3,1,2.24,5.99,1
05/03/2024,21.72,27.57,21.96,2059,4,5,0.68,4.42,90
06/03/2024,21.711,28.1,24.93,2058,3,0,2.27,5.34,90
07/03/2024,21.636,31.63,23.12,2060,7,2,2.14,7.57,15
08/03/2024,21.967,28.52,24.88,2064,6,1,2.63,5.54,30
09/03/2024,21.937,28.9,25.4,2071,3,1,2.44,4.58,15
10/03/2024,21.774,27.4,22.92,2078,5,0,1.66,4.58,1
11/03/2024,21.879,28.76,25.14,2076,3,0,2.38,4.93,15
12/03/2024,21.865,28.44,23.8,2077,1,2,1.92,5.85,1
13/03/2024,21.829,28.29,22.79,2074,2,2,01.03,5.15,15
14/03/2024,21.654,27.63,24.69,2082,1,1,02.08,4.35,15
15/03/2024,21.934,27.47,23.82,2079,1,3,1.69,4.35,90
16/03/2024,21.944,28.49,23.78,2080,0,1,2.0,5.15,90
17/03/2024,22.129,28.48,25.69,2088,4,0,2.83,05.04,1
18/03/2024,22.232,29.43,24.06,2097,3,1,2.11,5.45,90
19/03/2024,22.022,28.34,23.49,2096,1,1,1.49,5.92,90
20/03/2024,22.295,31.05,24.35,2096,3,2,2.48,7.73,1
21/03/2024,22.067,27.65,24.43,2095,2,3,2.18,3.54,90
22/03/2024,22.271,29.56,23.98,2092,3,4,1.43,5.69,90
23/03/2024,22.214,29.3,22.86,2089,6,2,1.2,5.1,1
24/03/2024,22.522,27.26,24.17,2097,2,0,1.51,3.16,1
25/03/2024,22.435,29.39,26.49,2105,4,1,2.42,6.25,1
26/03/2024,22.428,29.43,24.07,2114,2,2,1.85,5.42,1
27/03/2024,22.363,29.49,24.65,2115,4,0,02.04,5.8,1
28/03/2024,22.461,28.13,23.56,2117,4,0,1.33,3.3,1
29/03/2024,22.932,29.12,25.31,2116,3,4,2.43,4.78,90
30/03/2024,22.505,27.9,23.23,2124,1,2,0.99,3.92,15
31/03/2024,22.74,31.34,23.84,2129,5,3,1.67,7.16,15
01/04/2024,22.661,30.18,24.4,2130,4,2,2.21,6.14,15
02/04/2024,22.813,28.42,22.89,2134,4,0,1.44,4.32,90
03/04/2024,22.929,27.27,24.84,2143,2,1,2.31,3.46,90
04/04/2024,22.73,29.3,24.25,2140,5,1,1.57,5.19,1
05/04/2024,22.983,30.54,23.18,2141,1,3,1.39,06.09,90
06/04/2024,23.432,28.0,25.87,2140,3,1,2.64,3.26,30
07/04/2024,23.034,28.53,24.65,2148,2,0,02.08,04.07,15
08/04/2024,23.283,28.77,24.79,2145,2,1,2.26,3.89,1
09/04/2024,23.096,30.46,24.46,2145,1,0,2.51,5.87,90
10/04/2024,22.854,28.85,23.23,2154,3,1,0.69,4.63,30
11/04/2024,23.135,28.15,25.38,2155,3,1,2.32,4.67,15
12/04/2024,23.054,28.61,25.37,2158,3,2,1.62,5.17,90
13/04/2024,23.042,28.0,24.67,2155,3,1,1.69,4.12,15
14/04/2024,23.187,27.66,25.67,2154,0,1,2.22,3.56,1
15/04/2024,23.211,31.16,23.53,2152,6,1,1.82,6.37,1
16/04/2024,23.07,29.09,24.18,2157,2,1,2.3,6.46,15
17/04/2024,23.865,29.09,24.97,2163,3,1,1.98,5.18,15
18/04/2024,23.526,29.41,24.38,2165,4,1,02.08,5.25,15
19/04/2024,23.454,29.98,24.08,2171,2,1,1.75,6.26,90
20/04/2024,23.464,28.98,25.26,2170,4,0,1.47,5.16,30
21/04/2024,23.728,28.69,24.96,2174,2,1,1.63,4.58,1
22/04/2024,23.944,29.03,24.47,2178,5,0,1.95,05.04,15
23/04/2024,23.707,30.35,25.11,2176,4,1,2.92,6.39,90
24/04/2024,23.635,30.04,25.47,2178,2,0,2.74,05.05,90
25/04/2024,23.947,29.11,24.25,2181,4,2,1.67,4.33,1
26/04/2024,23.723,29.88,24.8,2179,5,1,02.03,5.15,15
27/04/2024,23.823,30.04,24.11,2186,2,1,1.86,5.66,30
28/04/2024,23.978,30.53,25.7,2192,0,0,02.07,5.54,30
29/04/2024,23.743,30.34,24.77,2190,4,1,2.13,5.55,90
30/04/2024,23.447,28.68,25.51,2196,1,3,2.26,4.17,90
01/05/2024,23.817,29.84,22.81,2193,3,1,0.55,5.77,15
02/05/2024,24.101,29.35,25.84,2197,4,0,2.18,05.03,1
03/05/2024,24.129,29.38,24.69,2194,1,0,1.8,4.29,15
04/05/2024,24.3,30.15,24.19,2199,3,2,1.65,5.76,1
05/05/2024,23.994,28.39,25.34,2206,2,2,2.4,4.55,15
06/05/2024,24.433,27.87,26.05,2208,2,1,2.73,3.43,90
07/05/2024,24.196,29.37,26.68,2211,3,4,2.34,4.0,30
08/05/2024,24.323,29.21,24.84,2220,1,1,1.74,4.82,1
09/05/2024,24.426,30.45,24.44,2226,5,2,1.46,5.58,90
10/05/2024,24.012,28.33,23.24,2229,7,1,0.5,4.14,1
11/05/2024,24.13,29.7,25.24,2235,1,1,02.09,4.76,90
12/05/2024,24.167,28.63,26.12,2234,1,5,2.29,3.78,15
13/05/2024,24.632,30.05,25.07,2232,0,1,1.95,5.98,90
14/05/2024,24.4,31.55,25.69,2237,3,0,2.47,6.72,15
15/05/2024,24.91,30.72,23.98,2241,3,1,1.34,6.61,90
16/05/2024,24.549,30.46,26.09,2250,6,0,1.91,5.96,1
17/05/2024,24.298,30.5,24.96,2258,3,0,1.87,5.86,1
18/05/2024,24.502,28.6,24.6,2264,4,0,1.94,2.93,30
19/05/2024,24.703,30.19,26.34,2267,3,1,2.58,5.18,15
20/05/2024,24.827,29.03,25.02,2272,3,0,1.95,4.5,1
21/05/2024,24.571,30.51,24.89,2272,3,1,1.85,5.88,15
22/05/2024,24.926,27.89,24.92,2281,1,1,1.53,2.46,15
23/05/2024,25.024,29.83,27.27,2281,1,3,2.66,5.19,90
24/05/2024,24.773,30.22,24.38,2278,5,1,1.28,4.79,15
25/05/2024,25.34,31.03,24.88,2282,3,1,1.72,6.12,30
26/05/2024,24.884,31.03,26.47,2290,3,1,2.85,6.55,15
27/05/2024,24.835,28.74,26.11,2289,2,0,2.23,04.07,1
28/05/2024,24.774,28.19,24.4,2292,0,1,1.99,4.12,90
29/05/2024,25.369,29.33,25.16,2300,4,0,02.01,5.23,1
30/05/2024,25.175,31.78,24.97,2298,4,3,1.53,6.73,15
31/05/2024,25.119,30.09,24.65,2296,3,1,1.97,05.06,1
01/06/2024,24.966,28.83,25.07,2299,4,0,1.83,3.72,90
02/06/2024,25.228,29.46,25.5,2301,2,1,02.09,4.39,30
03/06/2024,25.828,31.78,25.18,2300,4,1,1.25,5.2,90
04/06/2024,24.968,30.31,25.66,2305,2,5,2.2,5.24,15
05/06/2024,25.316,28.77,27.0,2311,1,1,2.51,4.3,1
06/06/2024,25.847,29.23,25.76,2320,3,2,1.9,4.37,15
07/06/2024,25.784,29.41,27.22,2322,5,2,2.32,04.02,1
08/06/2024,25.466,31.16,25.25,2328,4,1,2.16,6.14,30
09/06/2024,25.667,28.88,26.15,2334,2,2,1.7,4.17,15
10/06/2024,25.765,29.89,24.84,2336,5,3,1.47,4.54,15
11/06/2024,25.745,29.85,25.88,2333,4,1,1.54,4.51,1
12/06/2024,26.122,29.75,26.81,2333,6,2,2.15,3.39,15
13/06/2024,25.879,29.11,24.42,2339,1,1,1.97,4.14,1
14/06/2024,26.085,31.56,27.18,2341,1,1,2.64,6.23,15
15/06/2024,25.941,30.05,27.01,2343,8,0,2.4,3.79,90
16/06/2024,25.545,29.47,27.0,2350,1,0,2.39,04.04,15
17/06/2024,25.76,28.58,25.45,2358,5,0,2.13,3.67,15
18/06/2024,25.848,29.97,25.45,2359,3,1,1.52,4.91,90
19/06/2024,26.042,31.79,26.31,2356,4,1,2.16,6.89,1
20/06/2024,26.555,30.67,26.45,2360,3,3,02.03,4.87,15
21/06/2024,26.259,31.2,25.71,2361,1,3,1.43,05.07,15
22/06/2024,26.213,30.62,27.53,2369,1,3,2.6,4.2,15
23/06/2024,26.529,29.95,26.68,2377,3,2,2.55,4.94,30
24/06/2024,26.038,32.18,25.24,2385,1,0,1.43,6.23,1
25/06/2024,26.279,30.86,25.61,2386,4,0,1.68,5.14,15
26/06/2024,26.297,32.64,25.54,2389,0,3,1.73,7.13,1
27/06/2024,26.552,31.81,26.57,2389,3,1,2.3,6.26,15
28/06/2024,26.699,29.79,26.72,2391,5,5,2.25,4.91,90
29/06/2024,26.662,31.03,25.97,2400,2,3,02.02,4.89,1
30/06/2024,26.714,31.81,26.91,2400,3,1,2.14,6.63,90
01/07/2024,26.592,30.55,25.87,2399,3,1,1.36,5.14,90
02/07/2024,26.777,32.49,26.16,2402,1,1,2.19,6.41,15
03/07/2024,26.593,31.88,26.79,2406,3,2,1.95,7.0,15
04/07/2024,26.945,30.09,25.44,2406,4,3,1.66,4.8,1
05/07/2024,26.758,31.83,25.58,2415,2,4,1.23,5.35,1
06/07/2024,26.683,31.87,26.92,2413,0,0,02.01,5.98,1
07/07/2024,26.964,31.4,26.59,2421,5,1,2.18,5.77,1
08/07/2024,26.622,31.62,24.54,2427,4,0,1.15,5.76,1
09/07/2024,27.349,30.15,26.25,2426,3,0,02.01,3.67,90
10/07/2024,27.263,30.82,26.77,2423,3,1,02.06,4.15,1
11/07/2024,27.22,30.03,27.04,2427,3,0,1.72,4.5,90
12/07/2024,26.877,31.62,25.77,2426,4,1,2.19,6.21,15
13/07/2024,27.111,30.1,26.38,2434,3,1,1.93,3.76,15
